name,Gender,Eye color,Race,Hair color,Height,Publisher,Alignment,Weight
Crimson Dynamo,Male,brown,,No Hair,180.0,Marvel Comics,good,104.0
Crystal,Female,green,Inhuman,Red,168.0,Marvel Comics,good,50.0
Curse,Male,,,,,Image Comics,bad,
Cy-Gor,Male,,,,,Image Comics,bad,
Cyborg,Male,brown,Cyborg,Black,198.0,DC Comics,good,173.0
Cyborg Superman,Male,blue,Cyborg,Black,,DC Comics,bad,
Cyclops,Male,brown,Mutant,Brown,191.0,Marvel Comics,good,88.0
Cypher,,blue,,Blond,175.0,Marvel Comics,good,68.0
Dagger,Female,blue,,Blond,165.0,Marvel Comics,good,52.0
Danny Cooper,Male,brown,,Blond,,HarperCollins,good,
Daphne Powell,Female,,,,,ABC Studios,good,
Daredevil,Male,blue,Human,Red,183.0,Marvel Comics,good,90.0
Darkhawk,Male,brown,Human,Brown,185.0,Marvel Comics,good,81.0
Darkman,Male,,,,,Universal Studios,good,
Darkseid,Male,red,New God,No Hair,267.0,DC Comics,bad,817.0
Darkside,,,,,,,bad,
Darkstar,Female,brown,Mutant,Blond,168.0,Marvel Comics,good,56.0
Darth Maul,Male,yellow / red,Dathomirian Zabrak,,170.0,George Lucas,bad,
Darth Vader,Male,yellow,Cyborg,No Hair,198.0,George Lucas,bad,135.0
Dash,Male,blue,Human,Blond,122.0,Dark Horse Comics,good,27.0
Data,Male,yellow,Android,Brown,,Star Trek,good,
Dazzler,Female,blue,Mutant,Blond,173.0,Marvel Comics,good,52.0
Deadman,Male,blue,Human,Black,183.0,DC Comics,good,90.0
Deadpool,Male,brown,Mutant,No Hair,188.0,Marvel Comics,neutral,95.0
Deadshot,Male,brown,Human,Brown,185.0,DC Comics,bad,91.0
Deathlok,Male,brown,Cyborg,Grey,193.0,Marvel Comics,good,178.0
Deathstroke,Male,blue,Human,White,193.0,DC Comics,neutral,101.0
Demogoblin,Male,red,Demon,No Hair,185.0,Marvel Comics,bad,95.0
Destroyer,Male,,,,188.0,Marvel Comics,bad,383.0
Diamondback,Male,brown,Human,Black,193.0,Marvel Comics,bad,90.0
DL Hawkins,Male,,,,,NBC - Heroes,good,
Doc Samson,Male,blue,Human / Radiation,Green,198.0,Marvel Comics,good,171.0
Doctor Doom,Male,brown,Human,Brown,201.0,Marvel Comics,bad,187.0
Doctor Doom II,Male,brown,,Brown,201.0,Marvel Comics,bad,132.0
Doctor Fate,Male,blue,Human,Blond,188.0,DC Comics,good,89.0
Doctor Octopus,Male,brown,Human,Brown,175.0,Marvel Comics,bad,110.0
Doctor Strange,Male,grey,Human,Black,188.0,Marvel Comics,good,81.0
Domino,Female,blue,Human,Black,173.0,Marvel Comics,good,54.0
Donatello,Male,green,Mutant,No Hair,,IDW Publishing,good,
Donna Troy,Female,blue,Amazon,Black,175.0,DC Comics,good,63.0
Doomsday,Male,red,Alien,White,244.0,DC Comics,bad,412.0
Doppelganger,Male,white,,No Hair,196.0,Marvel Comics,bad,104.0
Dormammu,Male,yellow,,No Hair,185.0,Marvel Comics,bad,
Dr Manhattan,Male,white,Human / Cosmic,No Hair,,DC Comics,good,
Drax the Destroyer,Male,red,Human / Altered,No Hair,193.0,Marvel Comics,good,306.0
Ego,,,,,,Marvel Comics,bad,
Elastigirl,Female,brown,Human,Brown,168.0,Dark Horse Comics,good,56.0
Electro,Male,blue,Human,Auburn,180.0,Marvel Comics,bad,74.0
Elektra,Female,blue,Human,Black,175.0,Marvel Comics,good,59.0
Elle Bishop,Female,blue,,Blond,,NBC - Heroes,bad,
Elongated Man,Male,blue,,Red,185.0,DC Comics,good,80.0
Emma Frost,Female,blue,,Blond,178.0,Marvel Comics,good,65.0
Enchantress,Female,blue,Human,Blond,168.0,DC Comics,good,57.0
Energy,Female,,,,,HarperCollins,good,
ERG-1,Male,,,,,DC Comics,good,
Ethan Hunt,Male,brown,Human,Brown,168.0,,good,
Etrigan,Male,red,Demon,No Hair,193.0,DC Comics,neutral,203.0
Evil Deadpool,Male,white,Mutant,Red,188.0,Marvel Comics,bad,95.0
Evilhawk,Male,red,Alien,Black,191.0,Marvel Comics,bad,106.0
Exodus,Male,blue,Mutant,Black,183.0,Marvel Comics,bad,88.0
Fabian Cortez,,blue,,Brown,196.0,Marvel Comics,bad,96.0
Falcon,Male,brown,Human,Black,188.0,Marvel Comics,good,108.0
Fallen One II,Male,black,,Blue,,Marvel Comics,bad,
Faora,Female,,Kryptonian,,,DC Comics,bad,
Feral,,yellow (without irises),,Orange / White,175.0,Marvel Comics,good,50.0
Fighting Spirit,Female,,,Red,,DC Comics,good,
Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975.0,Marvel Comics,good,18.0
Firebird,Female,brown,,Black,165.0,Marvel Comics,good,56.0
Firelord,,white,,Yellow,193.0,Marvel Comics,good,99.0
Firestar,Female,green,Mutant,Red,173.0,Marvel Comics,good,56.0
Firestorm,Male,brown,,Black,,DC Comics,good,
Firestorm,Male,blue,Human,Auburn,188.0,DC Comics,good,91.0
Fixer,,red,,No Hair,,Marvel Comics,bad,
Flash,Male,blue,Human,Brown / White,180.0,DC Comics,good,81.0
Flash Gordon,Male,,,,,,good,
Flash II,Male,blue,Human,Blond,183.0,DC Comics,good,88.0
Flash III,Male,,Human,,183.0,DC Comics,good,86.0
Flash IV,Male,yellow,Human,Auburn,157.0,DC Comics,good,52.0
Forge,,brown,,Black,183.0,Marvel Comics,good,81.0
Franklin Richards,Male,blue,Mutant,Blond,142.0,Marvel Comics,good,45.0
Franklin Storm,,blue,,Grey,188.0,Marvel Comics,good,92.0
Frenzy,Female,brown,,Black,211.0,Marvel Comics,bad,104.0
Frigga,Female,blue,,White,180.0,Marvel Comics,good,167.0
Galactus,Male,black,Cosmic Entity,Black,876.0,Marvel Comics,neutral,16.0
Gambit,Male,red,Mutant,Brown,185.0,Marvel Comics,good,81.0
Gamora,Female,yellow,Zen-Whoberian,Black,183.0,Marvel Comics,good,77.0
Garbage Man,Male,,Mutant,,,DC Comics,good,
Gary Bell,Male,,Alpha,,,SyFy,good,
General Zod,Male,black,Kryptonian,Black,,DC Comics,bad,
Genesis,Male,blue,,Blond,185.0,Marvel Comics,good,86.0
Ghost Rider,Male,red,Demon,No Hair,188.0,Marvel Comics,good,99.0
Ghost Rider II,,,,,,Marvel Comics,good,
Giant-Man,Male,,Human,,,Marvel Comics,good,
Giant-Man II,Male,,,,,Marvel Comics,good,
Giganta,Female,green,,Red,62.5,DC Comics,bad,630.0
Gladiator,Male,blue,Strontian,Blue,198.0,Marvel Comics,neutral,268.0
Goblin Queen,Female,green,,Red,168.0,Marvel Comics,bad,50.0
Godzilla,,,Kaiju,,108.0,,bad,
Gog,Male,,,,,DC Comics,bad,
Goku,Male,,Saiyan,,175.0,Shueisha,good,62.0
Goliath,Male,,,,,Marvel Comics,good,
Goliath,Male,,Human,,,Marvel Comics,good,
Goliath,Male,,Human,,,Marvel Comics,good,
Goliath IV,Male,brown,,Black,183.0,Marvel Comics,good,90.0
Gorilla Grodd,Male,yellow,Gorilla,Black,198.0,DC Comics,bad,270.0
Granny Goodness,Female,blue,,White,178.0,DC Comics,bad,115.0
Gravity,Male,blue,Human,Brown,178.0,Marvel Comics,good,79.0
Greedo,Male,purple,Rodian,,170.0,George Lucas,bad,
Green Arrow,Male,green,Human,Blond,188.0,DC Comics,good,88.0
Green Goblin,Male,blue,Human,Auburn,180.0,Marvel Comics,bad,83.0
Green Goblin II,Male,blue,,Auburn,178.0,Marvel Comics,bad,77.0
Green Goblin III,Male,,,,183.0,Marvel Comics,good,88.0
Green Goblin IV,Male,green,,Brown,178.0,Marvel Comics,good,79.0
Groot,Male,yellow,Flora Colossus,,701.0,Marvel Comics,good,4.0
Guardian,Male,brown,Human,Black,,Marvel Comics,good,
Guy Gardner,Male,blue,Human-Vuldarian,Red,188.0,DC Comics,good,95.0
Hal Jordan,Male,brown,Human,Brown,188.0,DC Comics,good,90.0
Han Solo,Male,brown,Human,Brown,183.0,George Lucas,good,79.0
Hancock,Male,brown,Human,Black,188.0,Sony Pictures,good,
Harley Quinn,Female,blue,Human,Blond,170.0,DC Comics,bad,63.0
Harry Potter,Male,green,Human,Black,,J. K. Rowling,good,
Havok,Male,blue,Mutant,Blond,183.0,Marvel Comics,good,79.0
Hawk,Male,red,,Brown,185.0,DC Comics,good,89.0
Hawkeye,Male,blue,Human,Blond,191.0,Marvel Comics,good,104.0
Hawkeye II,Female,blue,Human,Black,165.0,Marvel Comics,good,57.0
Hawkgirl,Female,green,,Red,175.0,DC Comics,good,61.0
Hawkman,Male,blue,,Brown,185.0,DC Comics,good,88.0
Hawkwoman,Female,green,,Red,175.0,DC Comics,good,54.0
Hawkwoman II,Female,,,,,DC Comics,good,
Hawkwoman III,Female,blue,,Red,170.0,DC Comics,good,65.0
Heat Wave,Male,blue,Human,No Hair,180.0,DC Comics,bad,81.0
Hela,Female,green,Asgardian,Black,213.0,Marvel Comics,bad,225.0
Hellboy,Male,gold,Demon,Black,259.0,Dark Horse Comics,good,158.0
Hellcat,Female,blue,Human,Red,173.0,Marvel Comics,good,61.0
Hellstorm,Male,red,,Red,185.0,Marvel Comics,good,81.0
Hercules,Male,blue,Demi-God,Brown,196.0,Marvel Comics,good,146.0
Hiro Nakamura,Male,,,,,NBC - Heroes,good,
Hit-Girl,Female,,Human,,,Icon Comics,good,
Hobgoblin,Male,blue,,Grey,180.0,Marvel Comics,bad,83.0
Hollow,Female,blue,,Red,170.0,Marvel Comics,good,
Hope Summers,Female,green,,Red,168.0,Marvel Comics,good,48.0
Howard the Duck,Male,brown,,Yellow,79.0,Marvel Comics,good,18.0
Hulk,Male,green,Human / Radiation,Green,244.0,Marvel Comics,good,630.0
Human Torch,Male,blue,Human / Radiation,Blond,178.0,Marvel Comics,good,77.0
Huntress,Female,blue,,Black,180.0,DC Comics,good,59.0
Husk,Female,blue,Mutant,Blond,170.0,Marvel Comics,good,58.0
Hybrid,Male,brown,Symbiote,Black,175.0,Marvel Comics,good,77.0
Hydro-Man,Male,brown,,Brown,188.0,Marvel Comics,bad,119.0
Hyperion,Male,blue,Eternal,Red,183.0,Marvel Comics,good,207.0
Iceman,Male,brown,Mutant,Brown,173.0,Marvel Comics,good,65.0
Impulse,Male,yellow,Human,Auburn,170.0,DC Comics,good,65.0
Indiana Jones,Male,,Human,,183.0,George Lucas,good,79.0
Indigo,Female,,Alien,Purple,,DC Comics,neutral,
Ink,Male,blue,Mutant,No Hair,180.0,Marvel Comics,good,81.0
Invisible Woman,Female,blue,Human / Radiation,Blond,168.0,Marvel Comics,good,54.0
Iron Fist,Male,blue,Human,Blond,180.0,Marvel Comics,good,79.0
Iron Man,Male,blue,Human,Black,198.0,Marvel Comics,good,191.0
Iron Monger,Male,blue,,No Hair,,Marvel Comics,bad,2.0
Isis,Female,,,,,DC Comics,good,
Jack Bauer,Male,,,,,,good,
Jack of Hearts,Male,blue / white,Human,Brown,155.0,Marvel Comics,good,79.0
Jack-Jack,Male,blue,Human,Brown,71.0,Dark Horse Comics,good,14.0
James Bond,Male,blue,Human,Blond,183.0,Titan Books,good,
James T. Kirk,Male,hazel,Human,Brown,178.0,Star Trek,good,77.0
Jar Jar Binks,Male,yellow,Gungan,,193.0,George Lucas,good,
Jason Bourne,Male,,Human,,,,good,
Jean Grey,Female,green,Mutant,Red,168.0,Marvel Comics,good,52.0
Jean-Luc Picard,Male,,Human,,,Star Trek,good,
Jennifer Kale,Female,blue,,Blond,168.0,Marvel Comics,good,55.0
Jesse Quick,Female,,Human,,,DC Comics,good,
Jessica Cruz,Female,green,Human,Brown,,DC Comics,good,
Jessica Jones,Female,brown,Human,Brown,170.0,Marvel Comics,good,56.0
Jessica Sanders,Female,,,,,NBC - Heroes,good,
Jigsaw,Male,blue,,Black,188.0,Marvel Comics,bad,113.0
Jim Powell,Male,,,,,ABC Studios,good,
JJ Powell,Male,,,,,ABC Studios,good,
Johann Krauss,Male,,,,,Dark Horse Comics,good,
John Constantine,Male,blue,Human,Blond,183.0,DC Comics,good,
John Stewart,Male,green,Human,Black,185.0,DC Comics,good,90.0
John Wraith,Male,brown,,Black,183.0,Marvel Comics,good,88.0
Joker,Male,green,Human,Green,196.0,DC Comics,bad,86.0
Jolt,Female,blue,,Black,165.0,Marvel Comics,good,49.0
Jubilee,Female,red,Mutant,Black,165.0,Marvel Comics,good,52.0
Judge Dredd,Male,,Human,,188.0,Rebellion,good,
Juggernaut,Male,blue,Human,Red,287.0,Marvel Comics,neutral,855.0
Junkpile,Male,,Mutant,,,Marvel Comics,bad,
Justice,Male,hazel,Human,Brown,178.0,Marvel Comics,good,81.0
Jyn Erso,Female,green,Human,Brown,,George Lucas,good,
K-2SO,Male,white,Android,No Hair,213.0,George Lucas,good,
Kang,Male,brown,,Brown,191.0,Marvel Comics,bad,104.0
Karate Kid,Male,brown,Human,Brown,173.0,DC Comics,good,72.0
Kathryn Janeway,Female,,Human,,,Star Trek,good,
Katniss Everdeen,Female,,Human,,,,good,
Kevin 11,Male,,Human,Black,,DC Comics,good,
Kick-Ass,Male,blue,Human,Blond,,Icon Comics,good,
Kid Flash,Male,green,Human,Red,,DC Comics,good,
Kid Flash II,Male,,,,,DC Comics,good,
Killer Croc,Male,red,Metahuman,No Hair,244.0,DC Comics,bad,356.0
Killer Frost,Female,blue,Human,Blond,,DC Comics,bad,
Kilowog,Male,red,Bolovaxian,No Hair,234.0,DC Comics,good,324.0
King Kong,Male,yellow,Animal,Black,30.5,,good,
King Shark,Male,black,Animal,No Hair,,DC Comics,bad,
Kingpin,Male,blue,Human,No Hair,201.0,Marvel Comics,bad,203.0
Klaw,Male,red,Human,No Hair,188.0,Marvel Comics,bad,97.0
Kool-Aid Man,Male,black,,No Hair,,,good,
Kraven II,Male,brown,Human,Black,191.0,Marvel Comics,bad,99.0
Kraven the Hunter,Male,brown,Human,Black,183.0,Marvel Comics,bad,106.0
Krypto,Male,blue,Kryptonian,White,64.0,DC Comics,good,18.0
Kyle Rayner,Male,green,Human,Black,180.0,DC Comics,good,79.0
Kylo Ren,Male,,Human,,,George Lucas,bad,
Lady Bullseye,Female,,,Black,,Marvel Comics,bad,
Lady Deathstrike,Female,brown,Cyborg,Black,175.0,Marvel Comics,bad,58.0
Leader,Male,green,,No Hair,178.0,Marvel Comics,bad,63.0
Leech,Male,,,,,Marvel Comics,good,
Legion,Male,green / blue,Mutant,Black,175.0,Marvel Comics,good,59.0
Leonardo,Male,blue,Mutant,No Hair,,IDW Publishing,good,
Lex Luthor,Male,green,Human,No Hair,188.0,DC Comics,bad,95.0
Light Lass,Female,blue,,Red,165.0,DC Comics,good,54.0
Lightning Lad,Male,blue,,Red,155.0,DC Comics,good,65.0
Lightning Lord,Male,blue,,Red,191.0,DC Comics,bad,95.0
Living Brain,,yellow,,,198.0,Marvel Comics,bad,360.0
Living Tribunal,,blue,Cosmic Entity,No Hair,,Marvel Comics,neutral,
Liz Sherman,Female,,,,,Dark Horse Comics,good,
Lizard,Male,red,Human,No Hair,203.0,Marvel Comics,bad,230.0
Lobo,Male,red,Czarnian,Black,229.0,DC Comics,neutral,288.0
Loki,Male,green,Asgardian,Black,193.0,Marvel Comics,bad,236.0
Longshot,Male,blue,Human,Blond,188.0,Marvel Comics,good,36.0
Luke Cage,Male,brown,Human,Black,198.0,Marvel Comics,good,191.0
